Modèle,Accuracy,Recall,Precision,F1,ROC-AUC,FN,FP,TP,TN
Neural Net,89.33333333333333,90.9090909090909,85.71428571428571,88.23529411764706,0.9494949494949495,3,5,30,37
Naive Bayes,89.33333333333333,81.81818181818183,93.10344827586206,87.09677419354838,0.9610389610389611,6,2,27,40
Logistic Regression,88.0,84.84848484848484,87.5,86.15384615384616,0.9523809523809523,5,4,28,38
Linear DA,88.0,81.81818181818183,90.0,85.71428571428571,0.9567099567099568,6,3,27,39
Support Vectors,85.33333333333334,87.87878787878788,80.55555555555556,84.05797101449275,0.9494949494949496,4,7,29,35
